alert_id,customer_id,alert_date,scenario,amount,risk_score,disposition,false_positive
ALT0050,C014,2024-02-08,DORMANT_ACTIVITY,10312,12,NO_ACTION,0
ALT0051,C015,2024-05-11,HIGH_RISK_COUNTRY,18293,90,SAR_FILED,0
ALT0052,C020,2024-02-18,HIGH_RISK_COUNTRY,31534,73,ESCALATED_TO_ANALYST,0
ALT0053,C006,2024-07-06,DORMANT_ACTIVITY,20990,71,NO_ACTION,0
ALT0054,C009,2024-06-14,LARGE_CASH,16254,74,ESCALATED_TO_ANALYST,0
ALT0055,C012,2024-10-26,DORMANT_ACTIVITY,16511,58,NO_ACTION,0
ALT0056,C004,2024-10-20,DORMANT_ACTIVITY,40852,35,CLOSED_FALSE_POSITIVE,1
ALT0057,C013,2024-08-01,STRUCTURING,42311,83,SAR_FILED,0
ALT0058,C020,2024-05-22,ROUND_DOLLAR,51717,60,NO_ACTION,0
ALT0059,C015,2024-02-13,ROUND_DOLLAR,5826,74,SAR_FILED,0
ALT0060,C010,2024-09-18,HIGH_RISK_COUNTRY,36165,0,NO_ACTION,0
ALT0061,C004,2024-08-22,HIGH_FREQ,17497,27,CLOSED_FALSE_POSITIVE,1
ALT0062,C004,2024-12-25,ROUND_DOLLAR,7650,26,NO_ACTION,0
ALT0063,C018,2024-04-01,LARGE_CASH,25242,95,NO_ACTION,0
ALT0064,C007,2024-03-18,STRUCTURING,31868,24,CLOSED_FALSE_POSITIVE,1
ALT0065,C016,2024-08-08,ROUND_DOLLAR,12644,68,SAR_FILED,0
ALT0066,C020,2024-02-23,HIGH_RISK_COUNTRY,18423,18,NO_ACTION,0
ALT0067,C012,2024-01-26,ROUND_DOLLAR,41545,3,CLOSED_FALSE_POSITIVE,1
ALT0068,C015,2024-02-24,STRUCTURING,24583,69,CLOSED_FALSE_POSITIVE,1
ALT0069,C004,2024-04-12,HIGH_RISK_COUNTRY,43582,66,SAR_FILED,0
ALT0070,C010,2024-04-07,HIGH_RISK_COUNTRY,32534,62,SAR_FILED,0
ALT0071,C007,2024-02-23,DORMANT_ACTIVITY,47334,0,CLOSED_FALSE_POSITIVE,1
ALT0072,C020,2024-05-08,LARGE_CASH,6575,24,CLOSED_FALSE_POSITIVE,1
ALT0073,C019,2024-11-11,STRUCTURING,19939,52,ESCALATED_TO_ANALYST,0
ALT0074,C013,2024-11-22,ROUND_DOLLAR,47759,43,SAR_FILED,0
ALT0075,C015,2024-11-12,HIGH_RISK_COUNTRY,21330,30,CLOSED_FALSE_POSITIVE,1
ALT0076,C019,2024-04-05,LARGE_CASH,27034,48,NO_ACTION,0
ALT0077,C016,2024-04-28,STRUCTURING,41649,79,SAR_FILED,0
ALT0078,C003,2024-09-10,HIGH_FREQ,40278,60,CLOSED_FALSE_POSITIVE,1
ALT0079,C008,2024-08-19,HIGH_RISK_COUNTRY,33482,81,NO_ACTION,0
ALT0080,C005,2024-06-24,DORMANT_ACTIVITY,25021,20,SAR_FILED,0
ALT0081,C014,2024-07-10,STRUCTURING,10310,87,CLOSED_FALSE_POSITIVE,1
ALT0082,C014,2024-01-14,HIGH_RISK_COUNTRY,34025,73,NO_ACTION,0
ALT0083,C003,2024-04-16,HIGH_RISK_COUNTRY,30686,44,NO_ACTION,0
ALT0084,C014,2024-01-04,ROUND_DOLLAR,21552,83,CLOSED_FALSE_POSITIVE,1
ALT0085,C015,2024-05-15,HIGH_FREQ,53893,0,CLOSED_FALSE_POSITIVE,1
ALT0086,C006,2024-04-14,DORMANT_ACTIVITY,50157,25,NO_ACTION,0
ALT0087,C002,2024-10-22,STRUCTURING,46091,85,CLOSED_FALSE_POSITIVE,1
ALT0088,C005,2024-03-17,STRUCTURING,26921,49,NO_ACTION,0
ALT0089,C009,2024-04-10,STRUCTURING,5591,49,NO_ACTION,0
ALT0090,C010,2024-10-18,LARGE_CASH,34565,27,ESCALATED_TO_ANALYST,0
ALT0091,C009,2024-09-16,HIGH_FREQ,14072,67,CLOSED_FALSE_POSITIVE,1
ALT0092,C019,2024-07-08,ROUND_DOLLAR,25484,77,ESCALATED_TO_ANALYST,0
ALT0093,C001,2024-07-14,DORMANT_ACTIVITY,29548,49,CLOSED_FALSE_POSITIVE,1
ALT0094,C016,2024-08-25,LARGE_CASH,36324,40,CLOSED_FALSE_POSITIVE,1
ALT0095,C015,2024-04-08,LARGE_CASH,22266,47,SAR_FILED,0
ALT0096,C019,2024-07-01,ROUND_DOLLAR,33471,17,NO_ACTION,0
ALT0097,C010,2024-07-07,HIGH_RISK_COUNTRY,37786,57,ESCALATED_TO_ANALYST,0
ALT0098,C012,2024-07-12,DORMANT_ACTIVITY,39828,47,CLOSED_FALSE_POSITIVE,1
ALT0099,C002,2024-05-23,ROUND_DOLLAR,19855,51,NO_ACTION,0
ALT0100,C005,2024-04-28,HIGH_FREQ,16675,26,NO_ACTION,0
ALT0101,C009,2024-06-25,HIGH_FREQ,39336,36,SAR_FILED,0
ALT0102,C017,2024-05-26,ROUND_DOLLAR,26880,46,NO_ACTION,0
ALT0103,C004,2024-09-07,DORMANT_ACTIVITY,36900,34,ESCALATED_TO_ANALYST,0
ALT0104,C010,2024-06-27,ROUND_DOLLAR,44609,95,SAR_FILED,0
ALT0105,C010,2024-05-16,DORMANT_ACTIVITY,23054,60,ESCALATED_TO_ANALYST,0
ALT0106,C014,2024-09-21,DORMANT_ACTIVITY,15606,1,CLOSED_FALSE_POSITIVE,1
ALT0107,C018,2024-12-12,HIGH_FREQ,50279,88,SAR_FILED,0
ALT0108,C005,2024-03-04,HIGH_RISK_COUNTRY,39194,57,CLOSED_FALSE_POSITIVE,1
ALT0109,C019,2024-01-04,ROUND_DOLLAR,20391,80,SAR_FILED,0
ALT0110,C005,2024-01-23,STRUCTURING,27230,35,ESCALATED_TO_ANALYST,0
ALT0111,C018,2024-09-15,HIGH_FREQ,46258,48,ESCALATED_TO_ANALYST,0
ALT0112,C010,2024-04-10,HIGH_RISK_COUNTRY,34864,8,SAR_FILED,0
ALT0113,C002,2024-06-22,DORMANT_ACTIVITY,8001,9,NO_ACTION,0
ALT0114,C019,2024-02-04,DORMANT_ACTIVITY,50717,53,NO_ACTION,0
ALT0115,C003,2024-05-21,HIGH_FREQ,47231,63,SAR_FILED,0
ALT0116,C020,2024-07-19,LARGE_CASH,31957,77,CLOSED_FALSE_POSITIVE,1
ALT0117,C016,2024-11-11,STRUCTURING,50854,55,NO_ACTION,0
ALT0118,C011,2024-11-28,HIGH_RISK_COUNTRY,12098,8,SAR_FILED,0
ALT0119,C020,2024-09-26,HIGH_RISK_COUNTRY,5975,61,SAR_FILED,0
ALT0120,C013,2024-02-03,HIGH_RISK_COUNTRY,13890,95,SAR_FILED,0
ALT0121,C018,2024-07-01,HIGH_RISK_COUNTRY,7229,94,NO_ACTION,0
ALT0122,C017,2024-07-08,HIGH_FREQ,46871,7,SAR_FILED,0
ALT0123,C018,2024-10-28,LARGE_CASH,33196,15,SAR_FILED,0
ALT0124,C009,2024-09-11,LARGE_CASH,52166,33,CLOSED_FALSE_POSITIVE,1
ALT0125,C011,2024-10-20,HIGH_RISK_COUNTRY,15736,80,ESCALATED_TO_ANALYST,0
ALT0126,C014,2024-10-27,STRUCTURING,47730,49,SAR_FILED,0
ALT0127,C018,2024-11-20,HIGH_FREQ,46359,58,SAR_FILED,0
ALT0128,C017,2024-03-08,ROUND_DOLLAR,25150,0,SAR_FILED,0
ALT0129,C014,2024-09-18,HIGH_FREQ,50765,92,CLOSED_FALSE_POSITIVE,1
ALT0130,C003,2024-08-10,HIGH_FREQ,42904,43,SAR_FILED,0
ALT0131,C006,2024-04-10,ROUND_DOLLAR,36617,11,CLOSED_FALSE_POSITIVE,1
ALT0132,C003,2024-08-24,LARGE_CASH,38876,19,SAR_FILED,0
ALT0133,C020,2024-09-07,STRUCTURING,12841,83,ESCALATED_TO_ANALYST,0
ALT0134,C015,2024-12-12,HIGH_RISK_COUNTRY,40034,88,SAR_FILED,0
ALT0135,C002,2024-06-03,LARGE_CASH,31958,92,SAR_FILED,0
ALT0136,C006,2024-08-12,HIGH_RISK_COUNTRY,49684,72,SAR_FILED,0
ALT0137,C018,2024-01-04,LARGE_CASH,50583,59,SAR_FILED,0
ALT0138,C017,2024-03-12,ROUND_DOLLAR,43253,52,CLOSED_FALSE_POSITIVE,1
ALT0139,C001,2024-05-02,ROUND_DOLLAR,19785,36,NO_ACTION,0
ALT0140,C010,2024-04-08,LARGE_CASH,38100,33,CLOSED_FALSE_POSITIVE,1
ALT0141,C002,2024-08-04,HIGH_RISK_COUNTRY,48460,93,CLOSED_FALSE_POSITIVE,1
ALT0142,C016,2024-05-28,DORMANT_ACTIVITY,33103,19,CLOSED_FALSE_POSITIVE,1
ALT0143,C012,2024-08-15,ROUND_DOLLAR,11485,5,CLOSED_FALSE_POSITIVE,1
ALT0144,C019,2024-04-17,HIGH_RISK_COUNTRY,29662,26,ESCALATED_TO_ANALYST,0
ALT0145,C011,2024-06-04,HIGH_RISK_COUNTRY,30882,44,NO_ACTION,0
ALT0146,C009,2024-04-23,HIGH_FREQ,49036,46,NO_ACTION,0
ALT0147,C008,2024-11-24,HIGH_RISK_COUNTRY,25554,52,ESCALATED_TO_ANALYST,0
ALT0148,C017,2024-10-08,HIGH_FREQ,38520,4,SAR_FILED,0
ALT0149,C005,2024-12-19,HIGH_RISK_COUNTRY,21238,90,CLOSED_FALSE_POSITIVE,1
ALT0150,C011,2024-09-12,DORMANT_ACTIVITY,10591,64,ESCALATED_TO_ANALYST,0
ALT0151,C009,2024-01-25,HIGH_RISK_COUNTRY,19276,94,ESCALATED_TO_ANALYST,0
ALT0152,C006,2024-02-11,STRUCTURING,51870,45,CLOSED_FALSE_POSITIVE,1
ALT0153,C014,2024-03-27,HIGH_FREQ,54985,56,CLOSED_FALSE_POSITIVE,1
ALT0154,C005,2024-07-02,LARGE_CASH,52975,93,SAR_FILED,0
ALT0155,C012,2024-02-23,LARGE_CASH,42672,71,SAR_FILED,0
ALT0156,C017,2024-01-14,LARGE_CASH,53856,14,CLOSED_FALSE_POSITIVE,1
ALT0157,C016,2024-05-07,STRUCTURING,5455,14,NO_ACTION,0
ALT0158,C019,2024-02-12,STRUCTURING,23484,11,CLOSED_FALSE_POSITIVE,1
ALT0159,C016,2024-09-01,ROUND_DOLLAR,35496,24,CLOSED_FALSE_POSITIVE,1
ALT0160,C002,2024-02-23,STRUCTURING,16362,9,SAR_FILED,0
ALT0161,C001,2024-01-23,HIGH_FREQ,20252,30,NO_ACTION,0
ALT0162,C019,2024-01-09,ROUND_DOLLAR,30650,13,ESCALATED_TO_ANALYST,0
ALT0163,C015,2024-01-21,DORMANT_ACTIVITY,43336,15,ESCALATED_TO_ANALYST,0
ALT0164,C007,2024-03-15,ROUND_DOLLAR,23267,98,SAR_FILED,0
ALT0165,C016,2024-12-27,LARGE_CASH,40200,70,ESCALATED_TO_ANALYST,0
ALT0166,C015,2024-09-06,STRUCTURING,34992,94,NO_ACTION,0
ALT0167,C017,2024-12-10,LARGE_CASH,27073,4,CLOSED_FALSE_POSITIVE,1
ALT0168,C001,2024-10-05,STRUCTURING,37965,90,ESCALATED_TO_ANALYST,0
ALT0169,C011,2024-02-22,HIGH_FREQ,5045,90,CLOSED_FALSE_POSITIVE,1
ALT0170,C019,2024-08-28,HIGH_FREQ,14814,14,CLOSED_FALSE_POSITIVE,1
ALT0171,C017,2024-09-03,HIGH_RISK_COUNTRY,51165,69,ESCALATED_TO_ANALYST,0
ALT0172,C007,2024-08-06,DORMANT_ACTIVITY,16072,8,NO_ACTION,0
ALT0173,C020,2024-03-14,HIGH_FREQ,32114,88,SAR_FILED,0
ALT0174,C012,2024-02-03,HIGH_RISK_COUNTRY,30428,64,CLOSED_FALSE_POSITIVE,1
ALT0175,C011,2024-08-02,DORMANT_ACTIVITY,51791,43,NO_ACTION,0
ALT0176,C003,2024-04-16,LARGE_CASH,33048,90,ESCALATED_TO_ANALYST,0
ALT0177,C004,2024-11-22,DORMANT_ACTIVITY,30541,46,ESCALATED_TO_ANALYST,0
ALT0178,C003,2024-09-14,HIGH_RISK_COUNTRY,14790,78,ESCALATED_TO_ANALYST,0
ALT0179,C004,2024-05-24,DORMANT_ACTIVITY,26648,95,ESCALATED_TO_ANALYST,0
ALT0180,C017,2024-04-05,LARGE_CASH,49372,88,SAR_FILED,0
ALT0181,C012,2024-12-09,ROUND_DOLLAR,20549,11,ESCALATED_TO_ANALYST,0
ALT0182,C004,2024-08-20,HIGH_FREQ,53840,15,ESCALATED_TO_ANALYST,0
ALT0183,C019,2024-11-07,DORMANT_ACTIVITY,35984,68,CLOSED_FALSE_POSITIVE,1
ALT0184,C019,2024-09-05,HIGH_FREQ,51592,53,NO_ACTION,0
ALT0185,C007,2024-02-22,STRUCTURING,23070,34,ESCALATED_TO_ANALYST,0
ALT0186,C016,2024-02-18,HIGH_FREQ,36877,76,SAR_FILED,0
ALT0187,C001,2024-11-09,STRUCTURING,46694,66,NO_ACTION,0
ALT0188,C019,2024-10-05,HIGH_FREQ,48445,41,CLOSED_FALSE_POSITIVE,1
ALT0189,C012,2024-01-23,HIGH_RISK_COUNTRY,10601,71,SAR_FILED,0
ALT0190,C019,2024-04-14,STRUCTURING,53977,42,ESCALATED_TO_ANALYST,0
ALT0191,C017,2024-01-22,DORMANT_ACTIVITY,13098,22,ESCALATED_TO_ANALYST,0
ALT0192,C013,2024-10-06,LARGE_CASH,41406,14,ESCALATED_TO_ANALYST,0
ALT0193,C014,2024-02-20,DORMANT_ACTIVITY,53586,71,NO_ACTION,0
ALT0194,C004,2024-09-12,HIGH_FREQ,46203,86,SAR_FILED,0
ALT0195,C007,2024-07-16,STRUCTURING,45897,89,CLOSED_FALSE_POSITIVE,1
ALT0196,C017,2024-01-15,ROUND_DOLLAR,15196,75,NO_ACTION,0
ALT0197,C020,2024-04-09,LARGE_CASH,44792,63,ESCALATED_TO_ANALYST,0
ALT0198,C004,2024-01-14,STRUCTURING,21275,96,NO_ACTION,0
ALT0199,C006,2024-01-02,HIGH_FREQ,14110,60,ESCALATED_TO_ANALYST,0
ALT0200,C018,2024-10-28,HIGH_RISK_COUNTRY,30890,44,CLOSED_FALSE_POSITIVE,1
