customer_id,txn_id,txn_date,amount,transaction_type,country,channel,flagged
C004,TXN0046,2024-09-22,5000,CASH_DEPOSIT,Myanmar,ATM,1
C001,TXN0047,2024-06-18,8243,CASH_DEPOSIT,UAE,ONLINE,0
C014,TXN0048,2024-06-07,49114,WIRE_TRANSFER,India,ATM,1
C019,TXN0049,2024-03-14,40939,CASH_WITHDRAWAL,China,MOBILE,1
C009,TXN0050,2024-02-26,42108,CHEQUE,Myanmar,ONLINE,1
C009,TXN0051,2024-07-02,17580,CASH_WITHDRAWAL,Brazil,MOBILE,1
C020,TXN0052,2024-09-19,27856,ONLINE_TRANSFER,Myanmar,MOBILE,1
C001,TXN0053,2024-05-31,8235,CASH_DEPOSIT,USA,BRANCH,0
C012,TXN0054,2024-08-14,14965,CHEQUE,Russia,ONLINE,1
C003,TXN0055,2024-08-20,49548,CASH_WITHDRAWAL,China,ONLINE,1
C001,TXN0056,2024-10-25,11754,CHEQUE,China,MOBILE,1
C015,TXN0057,2024-07-21,41165,CASH_WITHDRAWAL,India,MOBILE,1
C014,TXN0058,2024-11-16,8270,CHEQUE,Myanmar,MOBILE,1
C002,TXN0059,2024-10-04,46284,ONLINE_TRANSFER,China,MOBILE,1
C006,TXN0060,2024-09-21,10093,CASH_DEPOSIT,USA,ATM,1
C001,TXN0061,2024-09-30,32918,WIRE_TRANSFER,UK,ATM,1
C015,TXN0062,2024-04-02,14316,CASH_DEPOSIT,Germany,ATM,1
C015,TXN0063,2024-11-17,10000,CHEQUE,Russia,BRANCH,0
C018,TXN0064,2024-11-09,36515,CASH_DEPOSIT,Brazil,BRANCH,1
C012,TXN0065,2024-02-10,2421,CASH_WITHDRAWAL,UAE,ATM,0
C015,TXN0066,2024-06-05,41278,CHEQUE,Myanmar,ATM,1
C002,TXN0067,2024-02-25,830,CASH_WITHDRAWAL,Australia,ATM,0
C012,TXN0068,2024-08-17,1407,ONLINE_TRANSFER,Germany,ONLINE,0
C017,TXN0069,2024-04-18,41656,ONLINE_TRANSFER,Myanmar,MOBILE,1
C002,TXN0070,2024-04-23,14665,CHEQUE,Canada,ATM,1
C016,TXN0071,2024-10-15,11190,ONLINE_TRANSFER,Australia,ONLINE,1
C009,TXN0072,2024-01-24,8381,CASH_DEPOSIT,UK,MOBILE,0
C001,TXN0073,2024-05-05,35589,WIRE_TRANSFER,Brazil,ATM,1
C011,TXN0074,2024-04-04,34931,WIRE_TRANSFER,India,MOBILE,1
C006,TXN0075,2024-08-17,9561,CHEQUE,Germany,MOBILE,0
C018,TXN0076,2024-09-25,50392,CHEQUE,Singapore,MOBILE,1
C015,TXN0077,2024-11-11,46362,ONLINE_TRANSFER,India,BRANCH,1
C020,TXN0078,2024-07-04,35388,WIRE_TRANSFER,Singapore,ONLINE,1
C001,TXN0079,2024-01-09,8075,CHEQUE,UAE,ATM,0
C002,TXN0080,2024-06-05,20000,WIRE_TRANSFER,UK,MOBILE,1
C019,TXN0081,2024-06-17,8033,CHEQUE,Australia,MOBILE,0
C003,TXN0082,2024-09-23,33700,WIRE_TRANSFER,Russia,MOBILE,1
C003,TXN0083,2024-11-16,26975,CASH_DEPOSIT,India,BRANCH,1
C011,TXN0084,2024-06-26,19115,CHEQUE,UK,ATM,1
C018,TXN0085,2024-08-03,9638,CHEQUE,Australia,ATM,0
C016,TXN0086,2024-09-04,24811,CASH_DEPOSIT,Australia,ONLINE,1
C011,TXN0087,2024-02-13,38490,ONLINE_TRANSFER,Myanmar,BRANCH,1
C017,TXN0088,2024-09-09,30102,WIRE_TRANSFER,France,MOBILE,1
C005,TXN0089,2024-02-19,16130,ONLINE_TRANSFER,Canada,BRANCH,1
C010,TXN0090,2024-05-11,46648,ONLINE_TRANSFER,UK,MOBILE,1
C018,TXN0091,2024-05-09,15441,WIRE_TRANSFER,USA,ATM,1
C012,TXN0092,2024-08-17,2642,CHEQUE,UK,MOBILE,0
C006,TXN0093,2024-05-16,35739,CASH_DEPOSIT,China,BRANCH,1
C008,TXN0094,2024-01-25,26793,WIRE_TRANSFER,India,BRANCH,1
C011,TXN0095,2024-02-12,29125,CASH_WITHDRAWAL,China,BRANCH,1
C016,TXN0096,2024-07-20,15426,CASH_WITHDRAWAL,Myanmar,BRANCH,1
C013,TXN0097,2024-09-14,5000,CASH_WITHDRAWAL,Myanmar,BRANCH,1
C017,TXN0098,2024-09-30,43532,WIRE_TRANSFER,Germany,ONLINE,1
C013,TXN0099,2024-03-10,5000,ONLINE_TRANSFER,China,BRANCH,0
C018,TXN0100,2024-07-23,46940,CASH_WITHDRAWAL,Germany,BRANCH,1
C014,TXN0101,2024-02-23,8263,CASH_DEPOSIT,Russia,BRANCH,0
C003,TXN0102,2024-02-23,37597,WIRE_TRANSFER,Germany,ONLINE,1
C005,TXN0103,2024-01-17,25544,CASH_WITHDRAWAL,UK,MOBILE,1
C010,TXN0104,2024-11-30,15000,ONLINE_TRANSFER,Myanmar,BRANCH,1
C012,TXN0105,2024-10-02,23803,ONLINE_TRANSFER,Iran,BRANCH,1
C018,TXN0106,2024-07-24,27962,WIRE_TRANSFER,Canada,ATM,1
C015,TXN0107,2024-12-11,4911,WIRE_TRANSFER,Russia,BRANCH,0
C005,TXN0108,2024-06-02,49819,WIRE_TRANSFER,UK,BRANCH,1
C001,TXN0109,2024-09-10,9924,WIRE_TRANSFER,France,BRANCH,0
C013,TXN0110,2024-03-03,33160,WIRE_TRANSFER,France,ATM,1
C012,TXN0111,2024-02-27,33780,CASH_DEPOSIT,Myanmar,BRANCH,1
C019,TXN0112,2024-07-12,39951,CASH_DEPOSIT,France,MOBILE,1
C018,TXN0113,2024-08-12,13318,CASH_WITHDRAWAL,France,MOBILE,1
C009,TXN0114,2024-11-13,545,ONLINE_TRANSFER,China,ONLINE,0
C006,TXN0115,2024-08-25,16933,CASH_DEPOSIT,Australia,ONLINE,1
C011,TXN0116,2024-08-09,8672,WIRE_TRANSFER,Germany,BRANCH,0
C014,TXN0117,2024-03-11,40363,CASH_DEPOSIT,Canada,ONLINE,1
C017,TXN0118,2024-03-09,5000,CHEQUE,UAE,MOBILE,0
C006,TXN0119,2024-12-21,25814,CASH_DEPOSIT,Myanmar,MOBILE,1
C004,TXN0120,2024-02-06,5449,CHEQUE,Brazil,MOBILE,0
C002,TXN0121,2024-06-24,50000,CHEQUE,USA,MOBILE,1
C002,TXN0122,2024-10-11,12053,CHEQUE,China,BRANCH,1
C006,TXN0123,2024-07-17,22057,ONLINE_TRANSFER,Japan,ATM,1
C008,TXN0124,2024-08-22,24388,CHEQUE,Singapore,BRANCH,1
C006,TXN0125,2024-01-14,30880,WIRE_TRANSFER,Singapore,ATM,1
C013,TXN0126,2024-12-24,11029,WIRE_TRANSFER,Germany,ATM,1
C014,TXN0127,2024-12-07,11927,CASH_DEPOSIT,Canada,ONLINE,1
C006,TXN0128,2024-10-15,35929,WIRE_TRANSFER,France,ONLINE,1
C014,TXN0129,2024-10-04,1085,CHEQUE,Brazil,BRANCH,0
C007,TXN0130,2024-10-09,8045,WIRE_TRANSFER,Singapore,BRANCH,0
C011,TXN0131,2024-08-27,8431,CASH_DEPOSIT,Germany,MOBILE,0
C002,TXN0132,2024-08-07,10000,CHEQUE,USA,ONLINE,0
C017,TXN0133,2024-06-24,2281,ONLINE_TRANSFER,UK,MOBILE,0
C008,TXN0134,2024-01-15,21439,CASH_WITHDRAWAL,Japan,ATM,1
C014,TXN0135,2024-12-01,46312,CHEQUE,Canada,BRANCH,1
C018,TXN0136,2024-11-16,40154,CHEQUE,UK,MOBILE,1
C003,TXN0137,2024-05-22,20816,WIRE_TRANSFER,China,MOBILE,1
C006,TXN0138,2024-01-07,8693,WIRE_TRANSFER,Canada,BRANCH,0
C020,TXN0139,2024-10-17,10000,WIRE_TRANSFER,Myanmar,ONLINE,1
C005,TXN0140,2024-08-14,25236,ONLINE_TRANSFER,France,ATM,1
C006,TXN0141,2024-02-21,15529,WIRE_TRANSFER,Myanmar,MOBILE,1
C018,TXN0142,2024-08-12,23424,CHEQUE,France,ATM,1
C011,TXN0143,2024-11-22,11749,ONLINE_TRANSFER,Russia,MOBILE,1
C017,TXN0144,2024-04-16,45414,CHEQUE,Australia,MOBILE,1
C014,TXN0145,2024-07-15,32133,CHEQUE,Russia,ATM,1
C002,TXN0146,2024-12-19,8712,CASH_WITHDRAWAL,Myanmar,ONLINE,1
C018,TXN0147,2024-07-10,31463,CHEQUE,China,ONLINE,1
C018,TXN0148,2024-02-05,23714,WIRE_TRANSFER,Brazil,MOBILE,1
C017,TXN0149,2024-08-11,28426,WIRE_TRANSFER,Canada,MOBILE,1
C009,TXN0150,2024-06-08,48592,ONLINE_TRANSFER,Japan,BRANCH,1
C015,TXN0151,2024-05-13,30779,ONLINE_TRANSFER,Australia,ATM,1
C016,TXN0152,2024-03-21,39496,CASH_WITHDRAWAL,Japan,MOBILE,1
C001,TXN0153,2024-02-14,4994,WIRE_TRANSFER,France,ONLINE,0
C012,TXN0154,2024-01-26,6718,CHEQUE,Japan,ATM,0
C017,TXN0155,2024-10-26,28278,WIRE_TRANSFER,UAE,ATM,1
C013,TXN0156,2024-10-05,9779,CHEQUE,Myanmar,ATM,1
C018,TXN0157,2024-07-21,20000,CASH_DEPOSIT,Germany,ONLINE,1
C005,TXN0158,2024-11-22,40106,CASH_WITHDRAWAL,China,ONLINE,1
C017,TXN0159,2024-05-18,48836,WIRE_TRANSFER,Brazil,MOBILE,1
C018,TXN0160,2024-02-14,27572,CASH_DEPOSIT,Brazil,ONLINE,1
C005,TXN0161,2024-08-04,10525,CASH_DEPOSIT,USA,ATM,1
C004,TXN0162,2024-02-29,41708,CHEQUE,Japan,BRANCH,1
C005,TXN0163,2024-05-17,23584,CASH_DEPOSIT,UK,BRANCH,1
C011,TXN0164,2024-07-23,15000,ONLINE_TRANSFER,Germany,BRANCH,1
C004,TXN0165,2024-01-03,20582,CASH_DEPOSIT,USA,ATM,1
C020,TXN0166,2024-11-15,50000,CASH_WITHDRAWAL,Canada,BRANCH,1
C018,TXN0167,2024-02-17,7603,CASH_WITHDRAWAL,China,BRANCH,0
C002,TXN0168,2024-11-11,9529,WIRE_TRANSFER,UK,ATM,0
C015,TXN0169,2024-05-06,45846,WIRE_TRANSFER,Australia,ATM,1
C001,TXN0170,2024-07-19,36865,WIRE_TRANSFER,UAE,BRANCH,1
C017,TXN0171,2024-01-09,34004,WIRE_TRANSFER,Australia,ONLINE,1
C018,TXN0172,2024-10-17,18340,CHEQUE,USA,ATM,1
C003,TXN0173,2024-08-03,9095,CASH_WITHDRAWAL,France,ONLINE,0
C004,TXN0174,2024-12-15,25660,WIRE_TRANSFER,France,MOBILE,1
C010,TXN0175,2024-09-14,35425,CASH_WITHDRAWAL,Iran,MOBILE,1
C002,TXN0176,2024-03-13,48080,CASH_DEPOSIT,UAE,MOBILE,1
C014,TXN0177,2024-09-25,5339,WIRE_TRANSFER,UAE,ONLINE,0
C018,TXN0178,2024-06-22,20655,CASH_WITHDRAWAL,Canada,MOBILE,1
C011,TXN0179,2024-11-25,5000,CASH_DEPOSIT,UAE,ATM,0
C017,TXN0180,2024-11-11,25797,CASH_DEPOSIT,Russia,ONLINE,1
C003,TXN0181,2024-04-07,39286,CASH_WITHDRAWAL,Germany,ATM,1
C013,TXN0182,2024-05-31,41495,CASH_DEPOSIT,India,ONLINE,1
C015,TXN0183,2024-06-13,10442,CASH_WITHDRAWAL,USA,ONLINE,1
C019,TXN0184,2024-10-05,8220,CASH_WITHDRAWAL,France,MOBILE,0
C005,TXN0185,2024-02-04,30904,WIRE_TRANSFER,France,BRANCH,1
C014,TXN0186,2024-07-23,12523,CASH_DEPOSIT,France,ONLINE,1
C003,TXN0187,2024-08-26,9497,CHEQUE,Germany,MOBILE,0
C008,TXN0188,2024-04-05,32541,CASH_DEPOSIT,UAE,MOBILE,1
C006,TXN0189,2024-09-08,38884,CASH_DEPOSIT,Brazil,ATM,1
C008,TXN0190,2024-02-25,48063,CHEQUE,India,ONLINE,1
C009,TXN0191,2024-11-21,14522,WIRE_TRANSFER,Australia,ATM,1
C019,TXN0192,2024-04-22,44504,CHEQUE,India,MOBILE,1
C015,TXN0193,2024-04-24,4643,CHEQUE,Germany,MOBILE,0
C002,TXN0194,2024-10-16,2933,CHEQUE,UAE,ATM,0
C017,TXN0195,2024-02-09,20633,CASH_WITHDRAWAL,France,ONLINE,1
C013,TXN0196,2024-12-26,30396,WIRE_TRANSFER,UK,MOBILE,1
C002,TXN0197,2024-07-05,35258,CASH_DEPOSIT,Myanmar,ONLINE,1
C012,TXN0198,2024-05-31,41081,CASH_DEPOSIT,UAE,ONLINE,1
C011,TXN0199,2024-06-03,9777,CASH_WITHDRAWAL,Myanmar,ONLINE,1
C005,TXN0200,2024-04-20,40573,CHEQUE,Japan,MOBILE,1
C003,TXN0201,2024-02-17,10000,WIRE_TRANSFER,UK,ATM,0
C019,TXN0202,2024-07-15,8485,WIRE_TRANSFER,USA,ATM,0
C005,TXN0203,2024-04-03,41504,CHEQUE,Myanmar,ATM,1
C016,TXN0204,2024-02-17,25289,CASH_DEPOSIT,France,MOBILE,1
C004,TXN0205,2024-08-17,36718,WIRE_TRANSFER,USA,ATM,1
C004,TXN0206,2024-05-25,39067,ONLINE_TRANSFER,Singapore,BRANCH,1
C008,TXN0207,2024-08-26,29948,ONLINE_TRANSFER,Myanmar,MOBILE,1
C020,TXN0208,2024-04-30,28376,CHEQUE,Iran,ATM,1
C009,TXN0209,2024-05-23,13725,CASH_DEPOSIT,Canada,MOBILE,1
C002,TXN0210,2024-01-18,5711,ONLINE_TRANSFER,Canada,BRANCH,0
C004,TXN0211,2024-10-14,13065,CASH_DEPOSIT,Myanmar,ATM,1
C001,TXN0212,2024-01-05,13123,CASH_WITHDRAWAL,China,ONLINE,1
C006,TXN0213,2024-12-08,25888,ONLINE_TRANSFER,Myanmar,MOBILE,1
C019,TXN0214,2024-07-08,21247,WIRE_TRANSFER,Australia,MOBILE,1
C003,TXN0215,2024-04-24,31944,WIRE_TRANSFER,UK,ONLINE,1
C011,TXN0216,2024-07-31,10500,CASH_DEPOSIT,Germany,ATM,1
C016,TXN0217,2024-05-07,15000,ONLINE_TRANSFER,China,MOBILE,1
C010,TXN0218,2024-02-06,46774,ONLINE_TRANSFER,France,MOBILE,1
C004,TXN0219,2024-05-05,15882,CASH_WITHDRAWAL,UK,ONLINE,1
C003,TXN0220,2024-03-19,40043,CASH_DEPOSIT,Australia,BRANCH,1
C015,TXN0221,2024-09-20,5000,WIRE_TRANSFER,UK,ATM,0
C008,TXN0222,2024-12-01,28623,CASH_WITHDRAWAL,Germany,ATM,1
C007,TXN0223,2024-10-19,12155,ONLINE_TRANSFER,USA,ATM,1
C006,TXN0224,2024-05-12,16031,CASH_DEPOSIT,France,BRANCH,1
C001,TXN0225,2024-08-08,30039,CASH_DEPOSIT,UK,ONLINE,1
C008,TXN0226,2024-11-09,9517,WIRE_TRANSFER,China,ONLINE,0
C001,TXN0227,2024-09-26,19734,CASH_WITHDRAWAL,India,ATM,1
C020,TXN0228,2024-04-01,19914,WIRE_TRANSFER,France,MOBILE,1
C015,TXN0229,2024-03-12,5438,WIRE_TRANSFER,USA,BRANCH,0
C005,TXN0230,2024-05-31,22684,CASH_WITHDRAWAL,Brazil,ATM,1
C013,TXN0231,2024-01-25,38464,WIRE_TRANSFER,USA,MOBILE,1
C001,TXN0232,2024-05-21,41487,ONLINE_TRANSFER,Germany,MOBILE,1
C016,TXN0233,2024-08-27,9971,CASH_WITHDRAWAL,Myanmar,ATM,1
C012,TXN0234,2024-01-15,7819,CASH_WITHDRAWAL,USA,ATM,0
C013,TXN0235,2024-10-24,29321,CHEQUE,Iran,ONLINE,1
C009,TXN0236,2024-01-17,48544,ONLINE_TRANSFER,Myanmar,BRANCH,1
C016,TXN0237,2024-08-15,1194,CASH_WITHDRAWAL,Singapore,MOBILE,0
C004,TXN0238,2024-10-22,11320,WIRE_TRANSFER,Singapore,ONLINE,1
C006,TXN0239,2024-06-27,20000,CASH_DEPOSIT,Russia,ONLINE,1
C009,TXN0240,2024-01-15,27929,ONLINE_TRANSFER,Australia,MOBILE,1
C009,TXN0241,2024-02-24,39477,CHEQUE,Singapore,ATM,1
C009,TXN0242,2024-04-02,6906,ONLINE_TRANSFER,Iran,MOBILE,1
C016,TXN0243,2024-10-02,2393,CHEQUE,Australia,BRANCH,0
C018,TXN0244,2024-11-21,9527,CHEQUE,Russia,BRANCH,0
C013,TXN0245,2024-12-21,20902,ONLINE_TRANSFER,UK,ONLINE,1
C018,TXN0246,2024-01-08,9971,CASH_DEPOSIT,Singapore,ONLINE,0
C009,TXN0247,2024-03-06,48777,CASH_WITHDRAWAL,China,BRANCH,1
C005,TXN0248,2024-04-30,50000,ONLINE_TRANSFER,USA,ATM,1
C015,TXN0249,2024-04-06,30070,WIRE_TRANSFER,Russia,ONLINE,1
C013,TXN0250,2024-04-18,47136,CASH_DEPOSIT,Singapore,MOBILE,1
C002,TXN0251,2024-11-30,10815,CASH_WITHDRAWAL,USA,ONLINE,1
C006,TXN0252,2024-05-17,10000,CHEQUE,UAE,MOBILE,0
C016,TXN0253,2024-08-25,50000,CASH_DEPOSIT,Myanmar,ONLINE,1
C019,TXN0254,2024-11-03,42095,CASH_DEPOSIT,UK,MOBILE,1
C006,TXN0255,2024-11-19,34292,WIRE_TRANSFER,Brazil,ATM,1
C013,TXN0256,2024-11-12,37782,WIRE_TRANSFER,India,ONLINE,1
C017,TXN0257,2024-06-19,6015,CASH_WITHDRAWAL,USA,ATM,0
C013,TXN0258,2024-11-20,20000,ONLINE_TRANSFER,Singapore,MOBILE,1
C014,TXN0259,2024-05-03,50000,CASH_DEPOSIT,Brazil,ATM,1
C017,TXN0260,2024-11-13,47998,WIRE_TRANSFER,Canada,MOBILE,1
C009,TXN0261,2024-12-03,45020,CASH_WITHDRAWAL,Iran,ATM,1
C003,TXN0262,2024-09-08,33218,ONLINE_TRANSFER,UAE,BRANCH,1
C012,TXN0263,2024-11-23,12785,ONLINE_TRANSFER,Australia,ONLINE,1
C014,TXN0264,2024-12-14,10000,ONLINE_TRANSFER,Germany,ATM,0
C004,TXN0265,2024-07-27,40927,CASH_DEPOSIT,France,ONLINE,1
C020,TXN0266,2024-06-20,33217,CASH_DEPOSIT,USA,MOBILE,1
C012,TXN0267,2024-07-31,42232,CASH_WITHDRAWAL,UK,ATM,1
C009,TXN0268,2024-05-09,10753,CHEQUE,Myanmar,MOBILE,1
C008,TXN0269,2024-06-25,24831,CASH_DEPOSIT,India,ONLINE,1
C020,TXN0270,2024-11-27,20532,CHEQUE,Australia,ATM,1
C013,TXN0271,2024-05-19,16782,CASH_WITHDRAWAL,Germany,ONLINE,1
C012,TXN0272,2024-08-14,6526,CHEQUE,Germany,MOBILE,0
C004,TXN0273,2024-02-26,28151,CHEQUE,Iran,MOBILE,1
C019,TXN0274,2024-09-03,9441,CHEQUE,France,ONLINE,0
C007,TXN0275,2024-08-22,10186,CHEQUE,Japan,BRANCH,1
C014,TXN0276,2024-03-21,9547,CASH_WITHDRAWAL,UK,ONLINE,0
C015,TXN0277,2024-11-17,1674,CASH_WITHDRAWAL,UK,ATM,0
C016,TXN0278,2024-06-13,3039,ONLINE_TRANSFER,Singapore,BRANCH,0
C007,TXN0279,2024-08-19,9177,WIRE_TRANSFER,India,BRANCH,0
C020,TXN0280,2024-09-11,33982,WIRE_TRANSFER,Japan,ONLINE,1
C010,TXN0281,2024-01-04,43474,CHEQUE,France,ONLINE,1
C007,TXN0282,2024-08-01,4789,CHEQUE,UAE,ONLINE,0
C010,TXN0283,2024-03-17,46085,ONLINE_TRANSFER,UK,ONLINE,1
C001,TXN0284,2024-12-26,25287,WIRE_TRANSFER,Canada,BRANCH,1
C003,TXN0285,2024-11-08,45045,CASH_DEPOSIT,Australia,ATM,1
C010,TXN0286,2024-06-11,27520,CHEQUE,UK,ATM,1
C011,TXN0287,2024-09-23,3169,CHEQUE,Myanmar,BRANCH,1
C020,TXN0288,2024-12-21,17515,CHEQUE,USA,BRANCH,1
C008,TXN0289,2024-09-10,21867,WIRE_TRANSFER,UAE,ONLINE,1
C014,TXN0290,2024-10-27,20000,CASH_WITHDRAWAL,UK,BRANCH,1
C006,TXN0291,2024-01-11,9565,ONLINE_TRANSFER,Japan,ONLINE,0
C005,TXN0292,2024-02-03,15993,CASH_DEPOSIT,Singapore,BRANCH,1
C002,TXN0293,2024-06-11,46956,CASH_WITHDRAWAL,Singapore,BRANCH,1
C004,TXN0294,2024-05-13,13615,CASH_DEPOSIT,UK,BRANCH,1
C004,TXN0295,2024-07-05,14770,CHEQUE,Singapore,MOBILE,1
C003,TXN0296,2024-04-19,31512,WIRE_TRANSFER,Australia,ATM,1
C018,TXN0297,2024-05-26,35195,CASH_DEPOSIT,China,ATM,1
C015,TXN0298,2024-01-07,22369,CASH_WITHDRAWAL,Australia,ATM,1
C008,TXN0299,2024-04-04,27790,CHEQUE,Canada,BRANCH,1
C017,TXN0300,2024-05-19,42225,CASH_WITHDRAWAL,USA,MOBILE,1
C015,TXN0301,2024-03-14,5487,CASH_DEPOSIT,Iran,BRANCH,1
C018,TXN0302,2024-01-22,13833,CASH_DEPOSIT,Iran,ATM,1
C016,TXN0303,2024-04-02,5000,ONLINE_TRANSFER,India,MOBILE,0
C009,TXN0304,2024-03-07,13567,CASH_DEPOSIT,Canada,BRANCH,1
C008,TXN0305,2024-04-11,43388,WIRE_TRANSFER,Russia,ONLINE,1
C011,TXN0306,2024-09-23,50137,ONLINE_TRANSFER,Brazil,ONLINE,1
C012,TXN0307,2024-10-09,27096,CASH_DEPOSIT,Brazil,ATM,1
C011,TXN0308,2024-12-20,10000,CASH_DEPOSIT,Russia,MOBILE,0
C004,TXN0309,2024-03-09,22705,ONLINE_TRANSFER,USA,MOBILE,1
C011,TXN0310,2024-12-21,10274,ONLINE_TRANSFER,China,BRANCH,1
C019,TXN0311,2024-04-25,15000,WIRE_TRANSFER,Germany,ONLINE,1
C017,TXN0312,2024-03-03,14649,CASH_WITHDRAWAL,UK,ATM,1
C006,TXN0313,2024-04-25,46971,ONLINE_TRANSFER,France,MOBILE,1
C002,TXN0314,2024-06-05,20000,CASH_DEPOSIT,Iran,BRANCH,1
C014,TXN0315,2024-12-12,12048,CHEQUE,Myanmar,ONLINE,1
C019,TXN0316,2024-11-13,5000,CASH_WITHDRAWAL,Canada,ONLINE,0
C013,TXN0317,2024-08-09,38972,WIRE_TRANSFER,Myanmar,ATM,1
C005,TXN0318,2024-10-18,49989,ONLINE_TRANSFER,India,ONLINE,1
C009,TXN0319,2024-06-18,45336,WIRE_TRANSFER,Germany,ATM,1
C019,TXN0320,2024-08-12,2176,CASH_WITHDRAWAL,UK,BRANCH,0
C019,TXN0321,2024-07-22,48388,CASH_DEPOSIT,China,BRANCH,1
C002,TXN0322,2024-04-12,9307,WIRE_TRANSFER,Japan,ONLINE,0
C018,TXN0323,2024-01-26,38432,ONLINE_TRANSFER,Australia,BRANCH,1
C006,TXN0324,2024-05-26,42406,CASH_DEPOSIT,Russia,ATM,1
C014,TXN0325,2024-10-08,39295,CASH_WITHDRAWAL,UAE,BRANCH,1
C002,TXN0326,2024-06-12,26063,CASH_DEPOSIT,Canada,ATM,1
C017,TXN0327,2024-07-09,50000,CASH_WITHDRAWAL,Brazil,MOBILE,1
C013,TXN0328,2024-06-01,29507,WIRE_TRANSFER,France,MOBILE,1
C019,TXN0329,2024-02-02,35632,CHEQUE,Russia,MOBILE,1
C012,TXN0330,2024-05-17,1029,CHEQUE,Japan,ATM,0
C012,TXN0331,2024-09-06,10000,CHEQUE,Australia,ONLINE,0
C006,TXN0332,2024-06-23,40704,CASH_WITHDRAWAL,Japan,BRANCH,1
C012,TXN0333,2024-09-13,22245,CHEQUE,France,MOBILE,1
C018,TXN0334,2024-12-03,5948,CASH_WITHDRAWAL,Myanmar,MOBILE,1
